Town,area,Population
Ang Mo Kio,6.38,"149,800"
Bedok,9.37,"204,300"
Bishan,6.9,"65,700"
Bukit Batok,7.85,"113,800"
Bukit Merah,8.58,"147,000"
Bukit Panjang,4.89,"119,300"
Choa Chu Kang,5.83,"161,100"
Clementi,4.12,"72,500"
Geylang,6.78,"91,900"
Hougang,13.09,"179,800"
Jurong East,3.84,"80,300"
Jurong West,9.87,"260,000"
Kallang/Whampoa,7.99,"105,500"
Pasir Ris,6.01,"111,000"
Punggol,9.57,"99,500"
Queenstown,6.94,"82,100"
Sembawang,7.08,"71,600"
Sengkang,10.55,"186,500"
Serangoon,7.37,"73,000"
Tampines,12,"239,100"
Toa Payoh,5.56,"107,500"
Woodlands,11.98,"243,100"
Yishun,7.78,"186,600"
